id	externalId	latitude	longitude	city	postalCode	address	street	phone	open24h	mcDrive	open24h	wlan	coupons	toggo	mcCafe	closedFrom	closedTo	seoURL	wednesday	sunday	thursday	friday	tuesday	saturday	monday	name1	name2
64	114	48.536863397	12.1517167409	Landshut	84028	Landshut, Altstadtstr.	Altstadt 88	+49 871 21165	False	False	False	True	True	False	True	None	None	https://www.mcdonalds.de/restaurant/landshut-altstadt-88	07:00 - 22:00	09:00 - 22:00	07:00 - 22:00	07:00 - 02:00	07:00 - 22:00	08:00 - 02:00	07:00 - 22:00	McDonald's Restaurant	Rampf KG
385	537	48.5600147488	12.136622369	Landshut	84030	Landshut, Straubinger Str. 4	Straubinger Str. 4	+49 871 12582	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/landshut-straubinger-str-4	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	McDonald's Restaurant	Rampf-Gastro GmbH
2745	1252	53.4213844186	9.98186412131	Hamburg	21077	Hamburg, Winsener Str. 231	Winsener Str. 231	+49 40 70102827	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/hamburg-winsener-str-231	07:00 - 00:00	08:00 - 00:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
2671	1172	48.5390797533	12.0959665033	Landshut	84034	Landshut, Ludwig-Erhard-Str.	Ludwig-Erhard-Str. 2	+49 871 9666852	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/landshut-ludwig-erhard-str-2	10:00 - 22:00	11:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	McDonald's Restaurant	Rampf KG
2772	1284	53.3636784826	9.8725737345	Buchholz in der Nordheide	21244	Dibbersen/Buchholz, Harburger	Harburger Str. 19	+49 4181 210690	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/buchholz-in-der-nordheide-harburger-str-19	07:00 - 00:00	08:00 - 00:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
2791	1306	48.5393401291	12.1559149436	Landshut	84028	Landshut, City Center Landshut	Am Alten Viehmarkt 5	+49 871 1436633	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/landshut-am-alten-viehmarkt-5	09:30 - 20:00	geschlossen	09:30 - 20:00	09:30 - 20:00	09:30 - 20:00	09:30 - 20:00	09:30 - 20:00	McDonald's Restaurant	Rampf KG
3061	1591	53.37041465	9.80062365	Neu Wulmstorf (OT Rade)	21629	Rade, Neu Wulmstorf Bab A1	Schlepelsberg 4-6	+49 4165 2172820	False	True	False	True	True	False	True	None	None	https://www.mcdonalds.de/restaurant/neu-wulmstorf-ot-rade-schlepelsberg-4-6	06:00 - 00:00	08:00 - 00:00	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00	07:00 - 00:00	06:00 - 00:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
2823	1341	53.456243057	9.9878995917	Hamburg	21073	Hamburg, Phoenix-Center	Moorstr. 4 (Phoenix Center)	+49 40 32083880	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/hamburg-moorstr-4-phoenix-center	09:00 - 20:00	geschlossen	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
177	315	50.8324140046	9.57176968016	Kirchheim	36275	Kirchheim, Industriestr.	Industriestr. 10	+49 6625 1555	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/kirchheim-industriestr-10	06:00 - 01:00	06:00 - 01:00	06:00 - 01:00	06:00 - 02:00	06:00 - 01:00	06:00 - 01:00	06:00 - 01:00	McDonald's Restaurant	Restaurantgruppe Sawizki KG
504	671	48.4856775041	12.0145954738	Eching (Weixerau)	84174	Eching-Weixerau, Mühlenstr.	Strogenweg 1	+49 8709 3331	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/eching-strogenweg-1	08:00 - 00:00	08:00 - 00:00	08:00 - 00:00	08:00 - 01:00	08:00 - 00:00	08:00 - 01:00	08:00 - 00:00	McDonald's Restaurant	Rampf KG
373	524	50.8619101	9.7203601	Bad Hersfeld	36251	Bad Hersfeld, Aral Autohof (A4	An der Haune 1	+49 6621 42223	True	True	True	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/bad-hersfeld-an-der-haune-1	24h	24h	24h	24h	24h	24h	24h	McDonald's Restaurant	Restaurantgruppe Sawizki KG
3189	5047	53.4577473471	9.98755470433	Hamburg	21073	Hamburg, Seeveplatz (Marktkauf	Seeveplatz 1	+49 40 30386867	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/hamburg-seeveplatz-1	09:00 - 20:00	geschlossen	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
425	582	48.6264739757	12.3189561513	Wörth a.d. Isar	84109	Wörth A.D. Isar, Autohof (A92)	Luitpoldpark 3	+49 8702 8827	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/woerth-ad-isar-luitpoldpark-3	05:00 - 02:00	06:00 - 02:00	05:00 - 02:00	05:00 - 04:00	05:00 - 02:00	06:00 - 04:00	05:00 - 02:00	McDonald's Restaurant	Rampf-Gastro GmbH
2592	1089	48.4543208104	12.3338999803	Vilsbiburg	84137	Vilsbiburg, Ohmstr.	Ohmstr. 1	+49 8741 924093	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/vilsbiburg-ohmstr-1	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 02:00	07:00 - 01:00	07:00 - 02:00	07:00 - 01:00	McDonald's Restaurant	Rampf KG
2736	1242	53.460230723	9.9817840397	Hamburg	21077	Hamburg, Harburg Arcaden	Lüneburgerstr. 39	+49 40 32507321	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/hamburg-lueneburgerstr-39	09:00 - 20:00	geschlossen	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	09:00 - 20:00	McDonald's Restaurant	Petersen-Hanson Familienrestaurants KG
750	950	50.96228975	9.78981124869	Bebra	36179	Bebra, Gottlieb-Daimler-Str.	Gottlieb-Daimler-Str. 6	+49 6622 918014	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/bebra-gottlieb-daimler-str-6	08:00 - 24:00	09:00 - 24:00	08:00 - 24:00	08:00 - 01:00	08:00 - 24:00	08:00 - 01:00	08:00 - 24:00	McDonald's Restaurant	Restaurantgruppe Sawizki KG
